DNA_plate_well,DNA_plate,DNA_well,Cohort,collection_date,isolation_source,counts
plate_4_B10,plate_4,B10,Neomycin,2017-02-28,29781,11009741
plate_4_B11,plate_4,B11,ColiGuard,2017-02-28,29704,13901217
plate_4_B12,plate_4,B12,Neomycin,2017-02-07,29694,18174818
plate_4_B2,plate_4,B2,D-Scour,2017-02-07,14159,19753598
plate_4_B3,plate_4,B3,NegativeControl,,NegativeControl,13116781
plate_4_B4,plate_4,B4,Neomycin,2017-02-07,29781,18487187
plate_4_B5,plate_4,B5,ColiGuard,2017-02-03,14306,18731463
plate_4_B6,plate_4,B6,ColiGuard,2017-02-24,14308,21325791
plate_4_B7,plate_4,B7,MockCommunity,2017-08-14,MockCommunity,12825444
plate_4_B8,plate_4,B8,Neomycin+D-Scour,2017-02-24,29961,19819137
plate_4_B9,plate_4,B9,Neomycin+D-Scour,2017-02-21,14320,11553062
plate_4_C1,plate_4,C1,D-Scour,2017-02-24,29875,18957967
plate_4_C10,plate_4,C10,Neomycin,2017-02-28,29796,19191515
plate_4_C11,plate_4,C11,Control,2017-02-28,29654,13189263
plate_4_C12,plate_4,C12,Control,2017-02-07,14161,14164064
plate_4_C2,plate_4,C2,Neomycin,2017-02-07,29793,15228672
plate_4_C3,plate_4,C3,Neomycin+D-Scour,2017-02-24,29652,12015597
plate_4_C4,plate_4,C4,Control,2017-02-10,29665,17503155
plate_4_C5,plate_4,C5,Neomycin+D-Scour,2017-02-10,29652,20714932
plate_4_C6,plate_4,C6,ColiGuard,2017-03-03,14188,21819385
plate_4_C7,plate_4,C7,Control,2017-03-03,29948,16772659
plate_4_C8,plate_4,C8,Control,2017-02-28,29705,19575095
plate_4_C9,plate_4,C9,D-Scour,2017-02-24,14159,6645446
plate_4_D1,plate_4,D1,PosControl_D-Scour,2018-01-24,Protexin,18527610
plate_4_D10,plate_4,D10,Neomycin,2017-02-24,29753,21808659
plate_4_D11,plate_4,D11,Neomycin,2017-02-21,29668,17437596
plate_4_D12,plate_4,D12,Neomycin,2017-01-31,29847,14759939
plate_4_D2,plate_4,D2,Control,2017-02-03,14322,18028122
plate_4_D3,plate_4,D3,PosControl_ColiGuard,2018-01-24,ColiGuard,13786500
plate_4_D4,plate_4,D4,Neomycin+D-Scour,2017-02-28,29951,16928199
plate_4_D5,plate_4,D5,Neomycin,2017-02-07,29949,25914054
plate_4_D6,plate_4,D6,ColiGuard,2017-03-03,29704,18016479
plate_4_D7,plate_4,D7,ColiGuard,2017-03-03,14288,17316803
plate_4_D8,plate_4,D8,Neomycin+ColiGuard,2017-02-21,29702,15493226
plate_4_D9,plate_4,D9,Neomycin+D-Scour,2017-02-10,29951,12256308
plate_4_E1,plate_4,E1,D-Scour,2017-02-07,29846,53430886
plate_4_E10,plate_4,E10,Neomycin,2017-01-31,29753,12404145
plate_4_E11,plate_4,E11,Neomycin,2017-01-31,14190,16698903
plate_4_E12,plate_4,E12,Neomycin+ColiGuard,2017-02-07,14186,15475494
plate_4_E2,plate_4,E2,Neomycin,2017-01-31,29797,15144880
plate_4_E3,plate_4,E3,Neomycin,2017-01-31,29743,16989053
plate_4_E4,plate_4,E4,Neomycin+ColiGuard,2017-02-07,29645,19782065
plate_4_E5,plate_4,E5,Neomycin+D-Scour,2017-03-03,29667,20193230
plate_4_E6,plate_4,E6,D-Scour,2017-02-28,29864,24096721
plate_4_E7,plate_4,E7,Neomycin,2017-02-03,14208,24954962
plate_4_E8,plate_4,E8,Neomycin+D-Scour,2017-02-28,29934,15277874
plate_4_E9,plate_4,E9,Neomycin+D-Scour,2017-02-10,29931,11577794
plate_4_F1,plate_4,F1,ColiGuard,2017-03-03,29924,15381426
plate_4_F10,plate_4,F10,ColiGuard,2017-02-03,29700,6189
plate_4_F11,plate_4,F11,ColiGuard,2017-02-24,14188,13897063
plate_4_F12,plate_4,F12,Neomycin+D-Scour,2017-02-07,14287,10748306
plate_4_F2,plate_4,F2,Control,2017-02-03,29654,17786809
plate_4_F3,plate_4,F3,Neomycin+D-Scour,2017-02-21,29652,18058707
plate_4_F4,plate_4,F4,NegativeControl,,NegativeControl,15130388
plate_4_F5,plate_4,F5,Neomycin+D-Scour,2017-02-07,14194,14279472
plate_4_F6,plate_4,F6,D-Scour,2017-03-03,29742,12748527
plate_4_F7,plate_4,F7,ColiGuard,2017-02-03,29704,13101426
plate_4_F8,plate_4,F8,Neomycin+D-Scour,2017-01-31,29934,19381592
plate_4_F9,plate_4,F9,D-Scour,2017-02-28,14276,12061544
plate_4_G1,plate_4,G1,ColiGuard,2017-02-07,14162,24663303
plate_4_G10,plate_4,G10,Neomycin+ColiGuard,2017-02-03,14186,21873534
plate_4_G11,plate_4,G11,Neomycin,2017-02-07,29653,17371988
plate_4_G12,plate_4,G12,Neomycin+ColiGuard,2017-02-07,29745,18984622
plate_4_G2,plate_4,G2,Neomycin+D-Scour,2017-01-31,14320,13077605
plate_4_G3,plate_4,G3,D-Scour,2017-02-10,29875,18947585
plate_4_G4,plate_4,G4,Neomycin,2017-03-03,29694,16150069
plate_4_G5,plate_4,G5,Control,2017-02-03,29705,17853141
plate_4_G6,plate_4,G6,ColiGuard,2017-02-07,14209,15205
plate_4_G7,plate_4,G7,Neomycin+ColiGuard,2017-02-24,29715,21357933
plate_4_G8,plate_4,G8,Control,2017-02-07,29666,21736393
plate_4_G9,plate_4,G9,D-Scour,2017-02-24,29752,23130752
plate_4_H1,plate_4,H1,Control,2017-03-03,29665,17732708
plate_4_H10,plate_4,H10,ColiGuard,2017-02-10,14308,23551531
plate_4_H11,plate_4,H11,Neomycin+D-Scour,2017-02-10,29961,15771050
plate_4_H12,plate_4,H12,D-Scour,2017-02-03,29875,21886083
plate_4_H2,plate_4,H2,Neomycin,2017-02-21,14265,17839193
plate_4_H3,plate_4,H3,D-Scour,2017-03-03,29875,15803770
plate_4_H4,plate_4,H4,Neomycin+D-Scour,2017-02-21,29961,23656932
plate_4_H5,plate_4,H5,Neomycin+D-Scour,2017-02-07,14194,25284886
plate_4_H6,plate_4,H6,Control,2017-02-21,29654,19437350
plate_4_H7,plate_4,H7,Control,2017-02-21,14184,18490169
plate_4_H8,plate_4,H8,Neomycin,2017-02-07,29633,16976339
plate_4_H9,plate_4,H9,Control,2017-02-24,29705,14954481
plate_5_A1,plate_5,A1,Neomycin,2017-03-03,29668,12692903
plate_5_A10,plate_5,A10,Neomycin+ColiGuard,2017-02-24,14263,11504340
plate_5_A11,plate_5,A11,Neomycin+ColiGuard,2017-01-31,29900,15806599
plate_5_A12,plate_5,A12,Neomycin+ColiGuard,2017-01-31,29702,10824332
plate_5_A2,plate_5,A2,Neomycin,2017-02-07,14265,165291797
plate_5_A3,plate_5,A3,Neomycin+D-Scour,2017-01-31,29961,9619087
plate_5_A4,plate_5,A4,NegativeControl,,NegativeControl,6248503
plate_5_A5,plate_5,A5,D-Scour,2017-01-31,14159,14525830
plate_5_A6,plate_5,A6,D-Scour,2017-02-03,14159,16121112
plate_5_A7,plate_5,A7,Neomycin+ColiGuard,2017-02-28,14186,15261471
plate_5_A8,plate_5,A8,Control,2017-02-14,29666,14566852
plate_5_A9,plate_5,A9,D-Scour,2017-02-10,14276,11746957
plate_5_B1,plate_5,B1,Neomycin+ColiGuard,2017-01-31,14186,14803562
plate_5_B10,plate_5,B10,Neomycin+ColiGuard,2017-01-31,14260,6067719
plate_5_B11,plate_5,B11,Neomycin+D-Scour,2017-02-07,29667,12934504
plate_5_B12,plate_5,B12,Neomycin+ColiGuard,2017-02-28,29702,9034559
plate_5_B2,plate_5,B2,MockCommunity,2017-08-14,MockCommunity,15770253
plate_5_B3,plate_5,B3,Neomycin,2017-03-03,29781,15019605
plate_5_B4,plate_5,B4,Neomycin,2017-02-24,29668,15983695
plate_5_B5,plate_5,B5,Neomycin,2017-01-31,29781,18029318
plate_5_B6,plate_5,B6,Neomycin,2017-02-10,29668,20735106
plate_5_B7,plate_5,B7,ColiGuard,2017-02-14,14162,13157777
plate_5_B8,plate_5,B8,Neomycin+ColiGuard,2017-03-03,29715,12404253
plate_5_B9,plate_5,B9,NegativeControl,,NegativeControl,3448217
plate_5_C1,plate_5,C1,Neomycin+D-Scour,2017-02-24,29865,8894449
plate_5_C10,plate_5,C10,Control,2017-01-31,14184,13267209
plate_5_C11,plate_5,C11,Neomycin+D-Scour,2017-02-03,29951,16560462
plate_5_C12,plate_5,C12,Neomycin,2017-02-24,14265,10602448
plate_5_C2,plate_5,C2,PosControl_ColiGuard,2018-01-24,ColiGuard,11301183
plate_5_C3,plate_5,C3,Neomycin+D-Scour,2017-01-31,29754,10940494
plate_5_C4,plate_5,C4,ColiGuard,2017-01-31,29692,16364097
plate_5_C5,plate_5,C5,Neomycin+D-Scour,2017-03-03,14320,16063113
plate_5_C6,plate_5,C6,ColiGuard,2017-02-10,14188,14984914
plate_5_C7,plate_5,C7,Control,2017-02-03,29665,12649695
plate_5_C8,plate_5,C8,Neomycin,2017-01-31,14208,14759445
plate_5_C9,plate_5,C9,Neomycin,2017-01-31,29847,6430755
plate_5_D1,plate_5,D1,Neomycin,2017-02-14,14265,14389800
plate_5_D10,plate_5,D10,D-Scour,2017-02-03,29742,15653516
plate_5_D11,plate_5,D11,D-Scour,2017-02-28,14159,12187897
plate_5_D12,plate_5,D12,D-Scour,2017-02-07,14205,9639057
plate_5_D2,plate_5,D2,D-Scour,2017-03-03,29752,16456657
plate_5_D3,plate_5,D3,Neomycin,2017-02-03,29753,19585818
plate_5_D4,plate_5,D4,Neomycin+D-Scour,2017-02-07,29691,16266130
plate_5_D5,plate_5,D5,Neomycin+ColiGuard,2017-01-31,14263,13603800
plate_5_D6,plate_5,D6,Neomycin,2017-01-31,29796,17583983
plate_5_D7,plate_5,D7,Neomycin+D-Scour,2017-03-03,29961,20253828
plate_5_D8,plate_5,D8,Neomycin+ColiGuard,2017-02-10,29702,18674608
plate_5_D9,plate_5,D9,D-Scour,2017-02-07,29914,12470597
plate_5_E1,plate_5,E1,Neomycin+D-Scour,2017-01-31,14295,25571204
plate_5_E10,plate_5,E10,D-Scour,2017-02-07,29742,13490698
plate_5_E11,plate_5,E11,Control,2017-02-21,14322,11454107
plate_5_E12,plate_5,E12,Neomycin,2017-02-10,29694,14102887
plate_5_E2,plate_5,E2,Neomycin,2017-02-03,14265,11681923
plate_5_E3,plate_5,E3,Neomycin+ColiGuard,2017-03-03,14261,14675379
plate_5_E4,plate_5,E4,Neomycin+D-Scour,2017-02-10,29865,17280746
plate_5_E5,plate_5,E5,Neomycin,2017-02-28,29753,19366747
plate_5_E6,plate_5,E6,ColiGuard,2017-02-03,14308,14761475
plate_5_E7,plate_5,E7,Control,2017-01-31,14271,15708949
plate_5_E8,plate_5,E8,Neomycin+D-Scour,2017-02-07,29652,18901387
plate_5_E9,plate_5,E9,ColiGuard,2017-02-07,14288,9537109
plate_5_F1,plate_5,F1,D-Scour,2017-02-10,14262,12202147
plate_5_F10,plate_5,F10,Neomycin,2017-02-03,29668,12832360
plate_5_F11,plate_5,F11,Neomycin,2017-02-14,29694,15435801
plate_5_F12,plate_5,F12,Neomycin+ColiGuard,2017-02-14,14263,8678995
plate_5_F2,plate_5,F2,D-Scour,2017-03-03,14159,14959443
plate_5_F3,plate_5,F3,D-Scour,2017-02-28,29846,12793317
plate_5_F4,plate_5,F4,Neomycin+ColiGuard,2017-01-31,14171,20486539
plate_5_F5,plate_5,F5,Control,2017-02-24,14322,14391481
plate_5_F6,plate_5,F6,Neomycin+ColiGuard,2017-02-07,14171,14824984
plate_5_F7,plate_5,F7,Neomycin+D-Scour,2017-01-31,14174,10073725
plate_5_F8,plate_5,F8,Neomycin+D-Scour,2017-01-31,14298,16062239
plate_5_F9,plate_5,F9,Control,2017-01-31,29631,20313043
plate_5_G1,plate_5,G1,D-Scour,2017-03-03,29864,26711752
plate_5_G10,plate_5,G10,Neomycin,2017-01-31,14192,16880614
plate_5_G11,plate_5,G11,Control,2017-02-24,29948,15333697
plate_5_G12,plate_5,G12,Neomycin,2017-02-01,14192,16170929
plate_5_G2,plate_5,G2,Control,2017-02-28,14184,12057575
plate_5_G3,plate_5,G3,Control,2017-02-24,29665,22345455
plate_5_G4,plate_5,G4,Neomycin,2017-02-24,29694,15132028
plate_5_G5,plate_5,G5,D-Scour,2017-02-07,29875,17276977
plate_5_G6,plate_5,G6,PosControl_D-Scour,2018-01-24,Protexin,15329431
plate_5_G7,plate_5,G7,Neomycin+D-Scour,2017-02-10,14320,14578008
plate_5_G8,plate_5,G8,ColiGuard,2017-02-10,14288,15731048
plate_5_G9,plate_5,G9,D-Scour,2017-01-31,14205,21788180
plate_5_H1,plate_5,H1,ColiGuard,2017-02-24,29700,12998711
plate_5_H10,plate_5,H10,ColiGuard,2017-02-03,14209,15187743
plate_5_H11,plate_5,H11,Neomycin,2017-02-10,14265,14621574
plate_5_H12,plate_5,H12,Neomycin+ColiGuard,2017-02-24,14260,14886024
plate_5_H2,plate_5,H2,Control,2017-02-14,14322,15197459
plate_5_H3,plate_5,H3,Neomycin,2017-01-31,14190,18157931
plate_5_H4,plate_5,H4,ColiGuard,2017-03-03,14209,21620207
plate_5_H5,plate_5,H5,Control,2017-01-31,14322,15714251
plate_5_H6,plate_5,H6,Neomycin,2017-01-31,14207,12034861
plate_5_H7,plate_5,H7,Control,2017-02-03,29666,17973169
plate_5_H8,plate_5,H8,ColiGuard,2017-02-28,29924,18742562
plate_5_H9,plate_5,H9,Neomycin,2017-02-10,29847,16642283
plate_6_A1,plate_6,A1,ColiGuard,2017-02-24,29704,15674357
plate_6_A10,plate_6,A10,Neomycin+ColiGuard,2017-02-14,14171,17360561
plate_6_A11,plate_6,A11,Control,2017-02-14,29665,13844617
plate_6_A12,plate_6,A12,Control,2017-02-03,14187,10266873
plate_6_A2,plate_6,A2,PosControl_ColiGuard,2018-01-24,ColiGuard,12243662
plate_6_A3,plate_6,A3,NegativeControl,,NegativeControl,1313589
plate_6_A4,plate_6,A4,D-Scour,2017-02-07,29778,18512672
plate_6_A5,plate_6,A5,ColiGuard,2017-02-07,29901,15125461
plate_6_A6,plate_6,A6,ColiGuard,2017-01-31,14284,26268593
plate_6_A7,plate_6,A7,Neomycin,2017-02-10,14208,11830
plate_6_A8,plate_6,A8,Control,2017-02-03,29948,17559459
plate_6_A9,plate_6,A9,Neomycin,2017-03-03,29847,22268865
plate_6_B1,plate_6,B1,Neomycin,2017-01-31,29694,13247895
plate_6_B10,plate_6,B10,D-Scour,2017-02-10,29742,8773715
plate_6_B11,plate_6,B11,Neomycin+ColiGuard,2017-02-24,29702,14762142
plate_6_B12,plate_6,B12,Neomycin,2017-02-10,29753,13823973
plate_6_B2,plate_6,B2,ColiGuard,2017-02-28,29700,9745718
plate_6_B3,plate_6,B3,Control,2017-02-07,29631,9229826
plate_6_B4,plate_6,B4,Neomycin,2017-01-31,29797,13260857
plate_6_B5,plate_6,B5,Neomycin,2017-01-31,29653,13623942
plate_6_B6,plate_6,B6,Neomycin+ColiGuard,2017-01-31,14297,15008734
plate_6_B7,plate_6,B7,D-Scour,2017-03-03,14317,13554732
plate_6_B8,plate_6,B8,Control,2017-02-24,29666,19604530
plate_6_B9,plate_6,B9,Control,2017-02-21,14187,19170862
plate_6_C1,plate_6,C1,D-Scour,2017-02-07,29752,12771118
plate_6_C10,plate_6,C10,Neomycin+D-Scour,2017-02-10,29667,16207502
plate_6_C11,plate_6,C11,Neomycin+ColiGuard,2017-02-07,14195,12321249
plate_6_C12,plate_6,C12,Neomycin+D-Scour,2017-02-03,29667,9336914
plate_6_C2,plate_6,C2,Neomycin,2017-02-07,14208,13423386
plate_6_C3,plate_6,C3,Neomycin+ColiGuard,2017-02-14,29715,13039779
plate_6_C4,plate_6,C4,Neomycin+D-Scour,2017-03-03,29652,16991151
plate_6_C5,plate_6,C5,D-Scour,2017-02-24,29864,19877019
plate_6_C6,plate_6,C6,ColiGuard,2017-02-03,14288,12364395
plate_6_C7,plate_6,C7,Neomycin,2017-02-14,14190,19157027
plate_6_C8,plate_6,C8,Neomycin+D-Scour,2017-01-31,29865,23882122
plate_6_C9,plate_6,C9,Control,2017-02-14,14161,8993636
plate_6_D1,plate_6,D1,Neomycin+D-Scour,2017-02-07,14201,10868587
plate_6_D10,plate_6,D10,Neomycin+D-Scour,2017-02-01,14287,15254896
plate_6_D11,plate_6,D11,Neomycin+ColiGuard,2017-03-03,14186,17404216
plate_6_D12,plate_6,D12,Neomycin,2017-01-31,29777,8320269
plate_6_D2,plate_6,D2,Neomycin,2017-02-03,29694,13385230
plate_6_D3,plate_6,D3,Neomycin+ColiGuard,2017-02-10,14263,15746049
plate_6_D4,plate_6,D4,PosControl_D-Scour,2018-01-24,Protexin,20110503
plate_6_D5,plate_6,D5,ColiGuard,2017-02-24,14288,13339659
plate_6_D6,plate_6,D6,Neomycin+D-Scour,2017-01-31,29931,13946016
plate_6_D7,plate_6,D7,Neomycin+D-Scour,2017-02-07,14298,18843055
plate_6_D8,plate_6,D8,ColiGuard,2017-02-03,14188,27531393
plate_6_D9,plate_6,D9,Neomycin+ColiGuard,2017-02-03,29646,22250888
plate_6_E1,plate_6,E1,Neomycin+D-Scour,2017-02-03,29961,51638813
plate_6_E10,plate_6,E10,Neomycin+D-Scour,2017-02-24,29934,17386729
plate_6_E11,plate_6,E11,Neomycin+ColiGuard,2017-02-10,29646,19895733
plate_6_E12,plate_6,E12,Neomycin+ColiGuard,2017-02-10,29715,7451510
plate_6_E2,plate_6,E2,MockCommunity,2017-08-14,MockCommunity,10828298
plate_6_E3,plate_6,E3,Neomycin+D-Scour,2017-02-28,29652,12602423
plate_6_E4,plate_6,E4,Neomycin+ColiGuard,2017-02-10,14261,15295257
plate_6_E5,plate_6,E5,Neomycin+D-Scour,2017-01-31,29652,13910377
plate_6_E6,plate_6,E6,ColiGuard,2017-02-28,14288,19665968
plate_6_E7,plate_6,E7,Neomycin,2017-01-31,29949,14360703
plate_6_E8,plate_6,E8,Neomycin,2017-01-31,29793,26682582
plate_6_E9,plate_6,E9,Neomycin+ColiGuard,2017-02-14,29645,20073630
plate_6_F1,plate_6,F1,Control,2017-02-24,29654,9719948
plate_6_F11,plate_6,F11,Control,2017-02-24,14184,16383364
plate_6_F12,plate_6,F12,Neomycin,2017-02-10,29781,10062243
plate_6_F2,plate_6,F2,Neomycin+ColiGuard,2017-01-31,29645,12103852
plate_6_F3,plate_6,F3,Control,2017-02-14,14187,17733686
plate_6_F4,plate_6,F4,D-Scour,2017-02-07,14276,14139419
plate_6_F5,plate_6,F5,Control,2017-02-24,14187,16094324
plate_6_F6,plate_6,F6,Neomycin+D-Scour,2017-02-03,14320,16665975
plate_6_F7,plate_6,F7,Neomycin,2017-03-03,14208,12392814
plate_6_F8,plate_6,F8,Neomycin+ColiGuard,2017-03-03,29643,17282263
plate_6_F9,plate_6,F9,D-Scour,2017-02-07,29765,25361654
plate_6_G1,plate_6,G1,ColiGuard,2017-03-03,14308,16799194
plate_6_G10,plate_6,G10,Neomycin+ColiGuard,2017-03-03,14260,18558013
plate_6_G11,plate_6,G11,Neomycin+ColiGuard,2017-02-28,14260,18570729
plate_6_G12,plate_6,G12,Neomycin,2017-02-24,29781,12482252
plate_6_G2,plate_6,G2,D-Scour,2017-02-07,14317,10621448
plate_6_G3,plate_6,G3,Neomycin+ColiGuard,2017-02-10,14260,16331656
plate_6_G4,plate_6,G4,D-Scour,2017-02-28,29752,15081051
plate_6_G5,plate_6,G5,Control,2017-02-03,14184,18145173
plate_6_G6,plate_6,G6,Neomycin+ColiGuard,2017-02-28,14263,14794643
plate_6_G7,plate_6,G7,ColiGuard,2017-02-10,29924,18058082
plate_6_G8,plate_6,G8,Neomycin,2017-02-03,29781,11781692
plate_6_G9,plate_6,G9,Neomycin+ColiGuard,2017-02-10,29643,21599298
plate_6_H1,plate_6,H1,Neomycin,2017-02-24,29796,12598320
plate_6_H10,plate_6,H10,Neomycin,2017-02-07,29743,17507182
plate_6_H11,plate_6,H11,Neomycin+D-Scour,2017-03-03,29865,15339615
plate_6_H12,plate_6,H12,ColiGuard,2017-02-03,29924,12478135
plate_6_H2,plate_6,H2,Control,2017-03-03,29654,11315177
plate_6_H3,plate_6,H3,Neomycin+ColiGuard,2017-02-24,14186,18970384
plate_6_H4,plate_6,H4,Neomycin+D-Scour,2017-02-28,14320,17794136
plate_6_H5,plate_6,H5,Neomycin+D-Scour,2017-03-03,29931,16099086
plate_6_H6,plate_6,H6,ColiGuard,2017-02-14,14188,14618873
plate_6_H7,plate_6,H7,Neomycin,2017-03-03,14265,13727850
plate_6_H8,plate_6,H8,Neomycin+D-Scour,2017-01-31,29703,31449095
plate_6_H9,plate_6,H9,Neomycin+D-Scour,2017-02-14,29934,24068415
plate_7_A1,plate_7,A1,D-Scour,2017-02-08,29875,10538708
plate_7_A10,plate_7,A10,Control,2017-03-03,14184,14519653
plate_7_A11,plate_7,A11,Control,2017-01-31,14160,14579584
plate_7_A12,plate_7,A12,D-Scour,2017-01-31,29864,10681837
plate_7_A2,plate_7,A2,Neomycin+ColiGuard,2017-02-07,29900,10684641
plate_7_A3,plate_7,A3,Neomycin+D-Scour,2017-01-31,14298,10846047
plate_7_A4,plate_7,A4,Neomycin,2017-01-31,29668,14274544
plate_7_A5,plate_7,A5,NegativeControl,,NegativeControl,773849
plate_7_A6,plate_7,A6,Control,2017-02-07,29913,14706073
plate_7_A7,plate_7,A7,Neomycin+D-Scour,2017-02-07,29754,12497321
plate_7_A8,plate_7,A8,Neomycin+ColiGuard,2017-02-07,29715,14643638
plate_7_A9,plate_7,A9,PosControl_D-Scour,2018-01-24,Protexin,14922283
plate_7_B1,plate_7,B1,Control,2017-02-07,14322,13354774
plate_7_B10,plate_7,B10,Control,2017-01-31,29764,8265236
plate_7_B11,plate_7,B11,Neomycin+D-Scour,2017-02-07,14174,15739695
plate_7_B12,plate_7,B12,ColiGuard,2017-02-07,29924,15247836
plate_7_B2,plate_7,B2,ColiGuard,2017-02-01,14162,14952315
plate_7_B3,plate_7,B3,ColiGuard,2017-01-31,14231,16562706
plate_7_B4,plate_7,B4,ColiGuard,2017-02-07,14307,16776667
plate_7_B5,plate_7,B5,Neomycin+D-Scour,2017-01-31,14193,15757192
plate_7_B6,plate_7,B6,ColiGuard,2017-01-31,29924,19266396
plate_7_B7,plate_7,B7,PosControl_ColiGuard,2018-01-24,ColiGuard,9649980
plate_7_B8,plate_7,B8,Neomycin+D-Scour,2017-01-31,29754,16298627
plate_7_B9,plate_7,B9,Control,2017-02-07,29912,13453724
plate_7_C1,plate_7,C1,ColiGuard,2017-02-07,29863,16344283
plate_7_C10,plate_7,C10,ColiGuard,2017-01-31,14188,16720217
plate_7_C11,plate_7,C11,Control,2017-03-03,14187,15875262
plate_7_C12,plate_7,C12,Control,2017-01-31,29707,10010804
plate_7_C2,plate_7,C2,ColiGuard,2017-02-07,14231,10179169
plate_7_C3,plate_7,C3,Control,2017-02-10,29705,13448075
plate_7_C4,plate_7,C4,Neomycin,2017-01-31,14192,13074741
plate_7_C5,plate_7,C5,D-Scour,2017-01-31,14317,7461546
plate_7_C6,plate_7,C6,NegativeControl,,NegativeControl,11798826
plate_7_C7,plate_7,C7,ColiGuard,2017-02-07,29704,14221332
plate_7_C8,plate_7,C8,ColiGuard,2017-02-01,14162,21400309
plate_7_C9,plate_7,C9,Neomycin+D-Scour,2017-01-31,14194,8334423
plate_7_D1,plate_7,D1,Neomycin,2017-01-31,14305,11845552
plate_7_D10,plate_7,D10,D-Scour,2017-02-01,14262,16290983
plate_7_D11,plate_7,D11,Neomycin,2017-01-31,29804,19419118
plate_7_D12,plate_7,D12,Neomycin,2017-01-31,29693,8568359
plate_7_D2,plate_7,D2,ColiGuard,2017-01-31,14163,15952148
plate_7_D3,plate_7,D3,Neomycin,2017-01-31,29653,20062410
plate_7_D4,plate_7,D4,Neomycin+D-Scour,2017-02-07,29703,12751239
plate_7_D5,plate_7,D5,MockCommunity,2017-08-14,MockCommunity,16963323
plate_7_D6,plate_7,D6,Neomycin,2017-01-31,29668,11298515
plate_7_D7,plate_7,D7,Control,2017-02-07,29654,13660345
plate_7_D8,plate_7,D8,ColiGuard,2017-01-31,14288,18977861
plate_7_D9,plate_7,D9,Neomycin,2017-01-31,14265,109239913
plate_7_E1,plate_7,E1,ColiGuard,2017-01-31,14307,7671574
plate_7_E10,plate_7,E10,D-Scour,2017-02-10,29864,15176454
plate_7_E11,plate_7,E11,Control,2017-01-31,14315,14729170
plate_7_E12,plate_7,E12,Neomycin+ColiGuard,2017-01-31,14261,13069032
plate_7_E2,plate_7,E2,ColiGuard,2017-01-31,14308,15552883
plate_7_E3,plate_7,E3,Control,2017-01-31,29654,9665557
plate_7_E4,plate_7,E4,D-Scour,2017-02-10,29846,13118429
plate_7_E5,plate_7,E5,Control,2017-02-07,29962,16347719
plate_7_E6,plate_7,E6,Neomycin+ColiGuard,2017-02-03,29643,13595366
plate_7_E7,plate_7,E7,Neomycin+D-Scour,2017-02-07,29961,19041356
plate_7_E8,plate_7,E8,Neomycin+ColiGuard,2017-01-31,29646,21331208
plate_7_E9,plate_7,E9,ColiGuard,2017-02-08,29924,18430285
plate_7_F1,plate_7,F1,Neomycin+ColiGuard,2017-01-31,14195,13252018
plate_7_F10,plate_7,F10,D-Scour,2017-02-07,14233,13765266
plate_7_F11,plate_7,F11,Neomycin+D-Scour,2017-01-31,29934,14380740
plate_7_F12,plate_7,F12,Neomycin,2017-01-31,29743,13825983
plate_7_F2,plate_7,F2,D-Scour,2017-01-31,29846,14332071
plate_7_F3,plate_7,F3,D-Scour,2017-01-31,29644,13312339
plate_7_F4,plate_7,F4,ColiGuard,2017-01-31,14183,11434750
plate_7_F5,plate_7,F5,Control,2017-02-07,29707,11991929
plate_7_F6,plate_7,F6,Control,2017-01-31,14169,20892493
plate_7_F7,plate_7,F7,D-Scour,2017-01-31,29914,8265384
plate_7_F8,plate_7,F8,Neomycin+D-Scour,2017-01-31,14201,19051039
plate_7_F9,plate_7,F9,Control,2017-01-31,29939,13137622
plate_7_G1,plate_7,G1,Control,2017-01-31,14187,12986233
plate_7_G10,plate_7,G10,Control,2017-02-10,14184,17406892
plate_7_G11,plate_7,G11,D-Scour,2017-02-07,14273,19995243
plate_7_G12,plate_7,G12,Neomycin,2017-01-31,29633,14786810
plate_7_G2,plate_7,G2,Neomycin+D-Scour,2017-02-24,14320,10766295
plate_7_G3,plate_7,G3,Control,2017-02-07,14271,17907097
plate_7_G4,plate_7,G4,Neomycin+D-Scour,2017-02-10,29934,15210013
plate_7_G5,plate_7,G5,Control,2017-01-31,14200,17904213
plate_7_G6,plate_7,G6,ColiGuard,2017-02-07,14284,21056685
plate_7_G7,plate_7,G7,Neomycin+ColiGuard,2017-02-03,29702,14909455
plate_7_G8,plate_7,G8,Control,2017-02-10,14322,15125415
plate_7_G9,plate_7,G9,ColiGuard,2017-02-10,29700,13252367
plate_7_H1,plate_7,H1,Neomycin+D-Scour,2017-01-31,14320,8133601
plate_7_H10,plate_7,H10,Control,2017-01-31,29948,17339096
plate_7_H11,plate_7,H11,D-Scour,2017-02-24,29742,16275032
plate_7_H12,plate_7,H12,Control,2017-01-31,29666,13404750
plate_7_H2,plate_7,H2,Neomycin+D-Scour,2017-01-31,29691,12943492
plate_7_H3,plate_7,H3,Neomycin+ColiGuard,2017-01-31,29715,14642557
plate_7_H4,plate_7,H4,Control,2017-01-31,14182,17182465
plate_7_H5,plate_7,H5,D-Scour,2017-01-31,29875,13224968
plate_7_H6,plate_7,H6,Control,2017-02-10,29948,15318353
plate_7_H7,plate_7,H7,ColiGuard,2017-01-31,29704,19678043
plate_7_H8,plate_7,H8,ColiGuard,2017-01-31,29700,15033875
