p_value,which_colldate,which_PC,comparison,group_1,group_2,groupsplit,test
0.992893176286409,t2,PC5,Control_vs_Neomycin,Control,Neomycin,all_t2,pairwise.t.test
0.328000354074592,t2,PC5,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t2,pairwise.t.test
0.88149599784953,t2,PC5,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t2,pairwise.t.test
0.058636021409004,t4,PC1,ColiGuard_vs_Control,ColiGuard,Control,all_t4,pairwise.t.test
0.205764726573068,t4,PC1,Control_vs_D-Scour,Control,D-Scour,all_t4,pairwise.t.test
0.18025665238421,t4,PC1,Control_vs_Neomycin,Control,Neomycin,all_t4,pairwise.t.test
0.118256151124892,t4,PC1,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t4,pairwise.t.test
0.584829750404782,t4,PC1,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t4,pairwise.t.test
0.180830106640987,t4,PC2,ColiGuard_vs_Control,ColiGuard,Control,all_t4,pairwise.t.test
0.144859401738305,t4,PC2,Control_vs_D-Scour,Control,D-Scour,all_t4,pairwise.t.test
0.652491404848587,t4,PC2,Control_vs_Neomycin,Control,Neomycin,all_t4,pairwise.t.test
0.458582404542491,t4,PC2,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t4,pairwise.t.test
0.662081105163902,t4,PC2,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t4,pairwise.t.test
0.312719913385196,t4,PC3,ColiGuard_vs_Control,ColiGuard,Control,all_t4,pairwise.t.test
0.805626592902008,t4,PC3,Control_vs_D-Scour,Control,D-Scour,all_t4,pairwise.t.test
0.597613159243447,t4,PC3,Control_vs_Neomycin,Control,Neomycin,all_t4,pairwise.t.test
0.706009512559561,t4,PC3,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t4,pairwise.t.test
0.862920980198208,t4,PC3,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t4,pairwise.t.test
0.376449850367084,t4,PC4,ColiGuard_vs_Control,ColiGuard,Control,all_t4,pairwise.t.test
0.218363288545861,t4,PC4,Control_vs_D-Scour,Control,D-Scour,all_t4,pairwise.t.test
0.157364397442104,t4,PC4,Control_vs_Neomycin,Control,Neomycin,all_t4,pairwise.t.test
0.659808232129351,t4,PC4,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t4,pairwise.t.test
0.484940386915472,t4,PC4,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t4,pairwise.t.test
0.44315529522852,t4,PC5,ColiGuard_vs_Control,ColiGuard,Control,all_t4,pairwise.t.test
0.748495310223791,t4,PC5,Control_vs_D-Scour,Control,D-Scour,all_t4,pairwise.t.test
0.0567949696169723,t4,PC5,Control_vs_Neomycin,Control,Neomycin,all_t4,pairwise.t.test
0.579553454104938,t4,PC5,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t4,pairwise.t.test
0.902213154077324,t4,PC5,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t4,pairwise.t.test
