diff,lwr,upr,p adj,type,comparison,padj_method
-0.0127858139986188,-8.88264978990728,8.85707816191004,1,unrooted_pd,P2-P1,TukeyHSD
1.35193137137172,-7.10515210135435,9.80901484409779,0.999967266798642,unrooted_pd,P3-P1,TukeyHSD
-0.262598301541544,-8.71968177426762,8.19448517118453,0.999999999983917,unrooted_pd,P4-P1,TukeyHSD
0.084527461047557,-8.37255601167852,8.54161093377363,1,unrooted_pd,P5-P1,TukeyHSD
0.486141784944138,-7.99316796388423,8.9654515337725,0.999999996068417,unrooted_pd,P6-P1,TukeyHSD
1.00454208894357,-7.45254138378251,9.46162556166964,0.999997494150606,unrooted_pd,P7-P1,TukeyHSD
-0.342208257705693,-8.79929173043177,8.11487521502038,0.999999999826579,unrooted_pd,P8-P1,TukeyHSD
1.42111074225321,-7.44875323365545,10.2909747181619,0.999966631922351,unrooted_pd,P9-P1,TukeyHSD
1.54585537457125,-7.32400860133741,10.4157193504799,0.999931786544229,unrooted_pd,P10-P1,TukeyHSD
1.36471718537034,-7.50514679053832,10.234581161279,0.999976402715416,unrooted_pd,P3-P2,TukeyHSD
-0.249812487542926,-9.11967646345158,8.62005148836573,0.999999999993384,unrooted_pd,P4-P2,TukeyHSD
0.0973132750461758,-8.77255070086248,8.96717725095483,1,unrooted_pd,P5-P2,TukeyHSD
0.498927598942757,-8.39213082528556,9.38998602317108,0.999999996754749,unrooted_pd,P6-P2,TukeyHSD
1.01732790294218,-7.85253607296647,9.88719187885084,0.99999815550661,unrooted_pd,P7-P2,TukeyHSD
-0.329422443707074,-9.19928641961573,8.54044153220158,0.999999999919714,unrooted_pd,P8-P2,TukeyHSD
1.43389655625182,-7.83037422118057,10.6981673336842,0.999975169584957,unrooted_pd,P9-P2,TukeyHSD
1.55864118856987,-7.70562958886253,10.8229119660023,0.999949409367011,unrooted_pd,P10-P2,TukeyHSD
-1.61452967291326,-10.0716131456393,6.84255379981281,0.999853289747126,unrooted_pd,P4-P3,TukeyHSD
-1.26740391032416,-9.72448738305023,7.18967956240191,0.999981175364243,unrooted_pd,P5-P3,TukeyHSD
-0.865789586427582,-9.34509933525595,7.61352016240078,0.999999335951254,unrooted_pd,P6-P3,TukeyHSD
-0.347389282428154,-8.80447275515423,8.10969419029792,0.999999999801552,unrooted_pd,P7-P3,TukeyHSD
-1.69413962907741,-10.1512231018035,6.76294384364866,0.999781052478375,unrooted_pd,P8-P3,TukeyHSD
0.0691793708814856,-8.80068460502717,8.93904334679014,1,unrooted_pd,P9-P3,TukeyHSD
0.193924003199527,-8.67593997270913,9.06378797910818,0.999999999999435,unrooted_pd,P10-P3,TukeyHSD
0.347125762589101,-8.10995771013697,8.80420923531517,0.999999999802898,unrooted_pd,P5-P4,TukeyHSD
0.748740086485682,-7.73056966234268,9.22804983531405,0.999999815989677,unrooted_pd,P6-P4,TukeyHSD
1.26714039048511,-7.18994308224096,9.72422386321118,0.999981208981057,unrooted_pd,P7-P4,TukeyHSD
-0.0796099561641483,-8.53669342889022,8.37747351656192,1,unrooted_pd,P8-P4,TukeyHSD
