collection_date,sample_size,unrooted_pd,bwpd,pc1,pc2,pc3,pc4,pc5,grouping,test,padj_method
t0,126,0.738027294360764,0.639014351987032,0.85455622198951,0.690000521160927,0.385159951611706,0.8093293078712,0.889927713402379,cross_breed,Kruskal-Wallis,Hommel
t1,48,0.738027294360764,0.860600734583907,0.85455622198951,0.690000521160927,0.385159951611706,0.8093293078712,0.849821714353753,cross_breed,Kruskal-Wallis,Hommel
t10,72,0.738027294360764,0.764978430741251,0.85455622198951,0.690000521160927,0.385159951611706,0.620342153640097,0.835301847657487,cross_breed,Kruskal-Wallis,Hommel
t2,118,0.738027294360764,0.889981129001512,0.85455622198951,0.690000521160927,0.0437047099723026,0.8093293078712,0.835301847657487,cross_breed,Kruskal-Wallis,Hommel
t3,49,0.738027294360764,0.764978430741251,0.85455622198951,0.690000521160927,0.385159951611706,0.620342153640097,0.889927713402379,cross_breed,Kruskal-Wallis,Hommel
t4,108,0.738027294360764,0.639014351987032,0.85455622198951,0.612499155545577,0.385159951611706,0.397501108394735,0.0773257386535708,cross_breed,Kruskal-Wallis,Hommel
t5,24,0.738027294360764,0.0451094590663692,0.170135002742389,0.575802571851581,0.385159951611706,0.0972524481751445,0.889927713402379,cross_breed,Kruskal-Wallis,Hommel
t6,72,0.738027294360764,0.860600734583907,0.85455622198951,0.690000521160927,0.385159951611706,0.389772528706741,0.889927713402379,cross_breed,Kruskal-Wallis,Hommel
t7,48,0.738027294360764,0.578099381468713,0.737362840340416,0.690000521160927,0.385159951611706,0.574182386614045,0.889927713402379,cross_breed,Kruskal-Wallis,Hommel
t8,72,0.738027294360764,0.889981129001512,0.166531481724753,0.690000521160927,0.385159951611706,0.8093293078712,0.889927713402379,cross_breed,Kruskal-Wallis,Hommel
t9,47,0.738027294360764,0.782742831188319,0.85455622198951,0.690000521160927,0.385159951611706,0.8093293078712,0.835301847657487,cross_breed,Kruskal-Wallis,Hommel
t0,126,0.754501610369744,0.699647712947906,0.794640962252032,0.676721003242878,0.571674523497858,0.773866635342635,0.867808973564953,line,Kruskal-Wallis,Hommel
t1,48,0.754501610369744,0.905957662308625,0.794640962252032,0.676721003242878,0.972911046018516,0.773866635342635,0.867808973564953,line,Kruskal-Wallis,Hommel
t10,72,0.754501610369744,0.905957662308625,0.794640962252032,0.676721003242878,0.972911046018516,0.773866635342635,0.867808973564953,line,Kruskal-Wallis,Hommel
t2,118,0.754501610369744,0.905957662308625,0.719947862684878,0.676721003242878,0.972911046018516,0.773866635342635,0.865225734467353,line,Kruskal-Wallis,Hommel
t3,49,0.754501610369744,0.905957662308625,0.721153142108352,0.676721003242878,0.972911046018516,0.590150072594674,0.867808973564953,line,Kruskal-Wallis,Hommel
t4,108,0.754501610369744,0.905957662308625,0.794640962252032,0.522906012453777,0.752659147523038,0.698489457862298,0.65706029876215,line,Kruskal-Wallis,Hommel
t5,24,0.754501610369744,0.0163091691608041,0.255124236477438,0.386025903428244,0.972911046018516,0.17447005387482,0.867808973564953,line,Kruskal-Wallis,Hommel
t6,72,0.754501610369744,0.905957662308625,0.756242965017809,0.676721003242878,0.972911046018516,0.453044898844792,0.867808973564953,line,Kruskal-Wallis,Hommel
t7,48,0.754501610369744,0.597918972019299,0.603609890842837,0.627487214944532,0.972911046018516,0.577237974709789,0.867808973564953,line,Kruskal-Wallis,Hommel
t8,72,0.754501610369744,0.905957662308625,0.300191303342222,0.676721003242878,0.972911046018516,0.773866635342635,0.867808973564953,line,Kruskal-Wallis,Hommel
t9,47,0.754501610369744,0.832913943985603,0.794640962252032,0.676721003242878,0.972911046018516,0.773866635342635,0.867808973564953,line,Kruskal-Wallis,Hommel
t0,126,0.00573031596961712,0.0403755526540461,0.939826011204579,0.75774167971448,0.966878807330533,0.682963186119524,0.329152406188115,birth day,Kruskal-Wallis,Hommel
t1,48,0.947474561187289,0.966864721672893,0.939826011204579,0.980466870747144,0.743599750695731,0.682963186119524,0.819256744517292,birth day,Kruskal-Wallis,Hommel
t10,72,0.957810163903774,0.966864721672893,0.939826011204579,0.980466870747144,0.966878807330533,0.682963186119524,0.631220539015831,birth day,Kruskal-Wallis,Hommel
t2,118,0.957810163903774,0.625477114123576,0.939826011204579,0.694658540710016,0.0560186402775222,0.682963186119524,0.365724895764573,birth day,Kruskal-Wallis,Hommel
t3,49,0.957810163903774,0.966864721672893,0.939826011204579,0.980466870747144,0.966878807330533,0.682963186119524,0.819256744517292,birth day,Kruskal-Wallis,Hommel
t4,108,0.957810163903774,0.966864721672893,0.939826011204579,0.980466870747144,0.201223897949416,0.682963186119524,0.819256744517292,birth day,Kruskal-Wallis,Hommel
t5,24,0.957810163903774,0.966864721672893,0.939826011204579,0.980466870747144,0.966878807330533,0.682963186119524,0.819256744517292,birth day,Kruskal-Wallis,Hommel
t6,72,0.957810163903774,0.966864721672893,0.939826011204579,0.980466870747144,0.849557974506012,0.682963186119524,0.819256744517292,birth day,Kruskal-Wallis,Hommel
t7,48,0.957810163903774,0.966864721672893,0.676347548281332,0.980466870747144,0.0109923009704435,0.682963186119524,0.426679045058668,birth day,Kruskal-Wallis,Hommel
t8,72,0.957810163903774,0.966864721672893,0.715374849188911,0.980466870747144,0.966878807330533,0.682963186119524,0.819256744517292,birth day,Kruskal-Wallis,Hommel
t9,47,0.957810163903774,0.966864721672893,0.939826011204579,0.980466870747144,0.966878807330533,0.682963186119524,0.481759683504557,birth day,Kruskal-Wallis,Hommel
