diff,lwr,upr,p adj,type,comparison,padj_method
-3.13114218750006,-12.0727213911902,5.81043701619007,0.983649726372959,unrooted_pd,P2-P1,TukeyHSD
3.11879781249995,-5.40666344699498,11.6442590719949,0.97793818494598,unrooted_pd,P3-P1,TukeyHSD
-4.19099729166663,-12.7164585511616,4.3344639678283,0.867286923236277,unrooted_pd,P4-P1,TukeyHSD
-0.854874062500031,-9.38033532199496,7.6705871969949,0.999999433950285,unrooted_pd,P5-P1,TukeyHSD
-0.689655937500035,-9.23752317849722,7.85821130349715,0.999999917364172,unrooted_pd,P6-P1,TukeyHSD
-2.23773343750003,-10.763194696995,6.2877278219949,0.998065646601318,unrooted_pd,P7-P1,TukeyHSD
-4.42527614583335,-12.9507374053283,4.10018511366158,0.82484345924256,unrooted_pd,P8-P1,TukeyHSD
1.39851156249996,-7.54306764119017,10.3400907661901,0.999972841125629,unrooted_pd,P9-P1,TukeyHSD
-0.187855937500018,-9.12943514119015,8.75372326619011,0.999999999999661,unrooted_pd,P10-P1,TukeyHSD
6.24994000000001,-2.69163920369012,15.1915192036901,0.445785012642851,unrooted_pd,P3-P2,TukeyHSD
-1.05985510416657,-10.0014343078567,7.88172409952356,0.999997539909339,unrooted_pd,P4-P2,TukeyHSD
2.27626812500003,-6.6653110786901,11.2178473286902,0.998477661967464,unrooted_pd,P5-P2,TukeyHSD
2.44148625000003,-6.52145876480553,11.4044312648056,0.997420788744592,unrooted_pd,P6-P2,TukeyHSD
0.893408750000035,-8.04817045369009,9.83498795369016,0.999999451468201,unrooted_pd,P7-P2,TukeyHSD
-1.29413395833329,-10.2357131620234,7.64744524535684,0.999986053135729,unrooted_pd,P8-P2,TukeyHSD
4.52965375000002,-4.80952113992353,13.8688286399236,0.87644229027683,unrooted_pd,P9-P2,TukeyHSD
2.94328625000004,-6.39588863992351,12.2824611399236,0.992284379974408,unrooted_pd,P10-P2,TukeyHSD
-7.30979510416658,-15.8352563636615,1.21566615532835,0.167358112686143,unrooted_pd,P4-P3,TukeyHSD
-3.97367187499998,-12.4991331344949,4.55178938449495,0.900619869621588,unrooted_pd,P5-P3,TukeyHSD
-3.80845374999998,-12.3563209909972,4.7394134909972,0.923197790237779,unrooted_pd,P6-P3,TukeyHSD
-5.35653124999998,-13.8819925094949,3.16893000949496,0.604395575343861,unrooted_pd,P7-P3,TukeyHSD
-7.5440739583333,-16.0695352178282,0.981387301161631,0.135667486644256,unrooted_pd,P8-P3,TukeyHSD
-1.72028624999999,-10.6618654536901,7.22129295369014,0.999843502211858,unrooted_pd,P9-P3,TukeyHSD
-3.30665374999997,-12.2482329536901,5.63492545369016,0.976265154944011,unrooted_pd,P10-P3,TukeyHSD
3.3361232291666,-5.18933803032833,11.8615844886615,0.9655222562877,unrooted_pd,P5-P4,TukeyHSD
3.5013413541666,-5.04652588683059,12.0492085951638,0.9538538823802,unrooted_pd,P6-P4,TukeyHSD
1.95326385416661,-6.57219740532832,10.4787251136615,0.999342944205008,unrooted_pd,P7-P4,TukeyHSD
-0.234278854166718,-8.75974011366165,8.29118240532821,0.999999999994735,unrooted_pd,P8-P4,TukeyHSD
5.5895088541666,-3.35207034952353,14.5310880578567,0.611544946034195,unrooted_pd,P9-P4,TukeyHSD
4.00314135416662,-4.93843784952351,12.9447205578567,0.921007554944604,unrooted_pd,P10-P4,TukeyHSD
0.165218124999996,-8.38264911599719,8.71308536599718,1,unrooted_pd,P6-P5,TukeyHSD
-1.382859375,-9.90832063449493,7.14260188449494,0.999962933988052,unrooted_pd,P7-P5,TukeyHSD
-3.57040208333332,-12.0958633428283,4.95505917616161,0.947040320230901,unrooted_pd,P8-P5,TukeyHSD
2.25338562499999,-6.68819357869014,11.1949648286901,0.998594122749469,unrooted_pd,P9-P5,TukeyHSD
0.667018125000013,-8.27456107869012,9.60859732869014,0.999999958843051,unrooted_pd,P10-P5,TukeyHSD
-1.54807749999999,-10.0959447409972,6.99978974099719,0.999905683092084,unrooted_pd,P7-P6,TukeyHSD
-3.73562020833332,-12.2834874493305,4.81224703266387,0.931456632258605,unrooted_pd,P8-P6,TukeyHSD
2.0881675,-6.87477751480556,11.0511125148056,0.999248027945582,unrooted_pd,P9-P6,TukeyHSD
0.501800000000017,-8.46114501480554,9.46474501480557,0.99999999682116,unrooted_pd,P10-P6,TukeyHSD
-2.18754270833333,-10.7130039678283,6.33791855116161,0.998380211131206,unrooted_pd,P8-P7,TukeyHSD
3.63624499999999,-5.30533420369014,12.5778242036901,0.95590302844768,unrooted_pd,P9-P7,TukeyHSD
2.04987750000001,-6.89170170369012,10.9914567036901,0.999339630059475,unrooted_pd,P10-P7,TukeyHSD
5.82378770833331,-3.11779149535682,14.7653669120234,0.552373831574131,unrooted_pd,P9-P8,TukeyHSD
4.23742020833333,-4.7041589953568,13.1789994120235,0.891041110238155,unrooted_pd,P10-P8,TukeyHSD
-1.58636749999998,-10.9255423899235,7.75280738992358,0.999945124179221,unrooted_pd,P10-P9,TukeyHSD
0.0332489375000007,-0.0627320298731423,0.129229904873144,0.984834976371044,bwpd,P2-P1,TukeyHSD
-0.0670730833333333,-0.158587345003227,0.0244411783365603,0.373936512024604,bwpd,P3-P1,TukeyHSD
-0.0343870729166671,-0.125901334586561,0.0571271887532265,0.973589743448728,bwpd,P4-P1,TukeyHSD
0.0014528958333333,-0.0900613658365603,0.0929671575032269,1,bwpd,P5-P1,TukeyHSD
-0.0327968151315785,-0.124551587759385,0.0589579574962277,0.981161872136257,bwpd,P6-P1,TukeyHSD
